accuracy,dataset,mean,step
0.8533333539962769,EuroSAT_test,0.8533333539962769,0
0.8666666746139526,EuroSAT_test,0.8600000143051147,1
0.9200000166893005,EuroSAT_test,0.8800000548362732,2
0.9466666579246521,EuroSAT_test,0.8966667056083679,3
0.9333333373069763,EuroSAT_test,0.9039999842643738,4
0.8666666746139526,EuroSAT_test,0.897777795791626,5
0.9333333373069763,EuroSAT_test,0.9028571844100952,6
0.8266666531562805,EuroSAT_test,0.893333375453949,7
0.7066666483879089,EuroSAT_test,0.8725926280021667,8
0.9066666960716248,EuroSAT_test,0.8760000467300415,9
0.8799999952316284,EuroSAT_test,0.8763636946678162,10
0.8799999952316284,EuroSAT_test,0.8766667246818542,11
0.8533333539962769,EuroSAT_test,0.8748718500137329,12
0.8666666746139526,EuroSAT_test,0.8742858171463013,13
0.9599999785423279,EuroSAT_test,0.880000114440918,14
0.800000011920929,EuroSAT_test,0.8750000596046448,15
0.8933333158493042,EuroSAT_test,0.8760784864425659,16
0.9200000166893005,EuroSAT_test,0.8785185813903809,17
0.8799999952316284,EuroSAT_test,0.8785965442657471,18
0.9466666579246521,EuroSAT_test,0.8820000886917114,19
0.9333333373069763,EuroSAT_test,0.8844444751739502,20
0.9200000166893005,EuroSAT_test,0.8860606551170349,21
0.9200000166893005,EuroSAT_test,0.8875362873077393,22
0.8399999737739563,EuroSAT_test,0.885555624961853,23
0.8666666746139526,EuroSAT_test,0.8848000168800354,24
0.800000011920929,EuroSAT_test,0.8815385103225708,25
0.9466666579246521,EuroSAT_test,0.8839506506919861,26
0.9333333373069763,EuroSAT_test,0.8857142925262451,27
0.9200000166893005,EuroSAT_test,0.886896550655365,28
0.8666666746139526,EuroSAT_test,0.886222243309021,29
0.8266666531562805,EuroSAT_test,0.8843010067939758,30
0.8133333325386047,EuroSAT_test,0.8820832967758179,31
0.7599999904632568,EuroSAT_test,0.8783838152885437,32
0.800000011920929,EuroSAT_test,0.8760783672332764,33
0.8533333539962769,EuroSAT_test,0.8754284977912903,34
0.9733333587646484,EuroSAT_test,0.878148078918457,35
0.8666666746139526,EuroSAT_test,0.8778377175331116,36
0.8133333325386047,EuroSAT_test,0.8761401772499084,37
0.9333333373069763,EuroSAT_test,0.8776067495346069,38
0.9733333587646484,EuroSAT_test,0.8799999356269836,39
0.7866666913032532,EuroSAT_test,0.8777234554290771,40
0.8133333325386047,EuroSAT_test,0.8761903643608093,41
0.8533333539962769,EuroSAT_test,0.8756588101387024,42
0.8933333158493042,EuroSAT_test,0.8760604858398438,43
0.9599999785423279,EuroSAT_test,0.8779258131980896,44
0.8933333158493042,EuroSAT_test,0.8782607316970825,45
0.7733333110809326,EuroSAT_test,0.8760282397270203,46
0.8133333325386047,EuroSAT_test,0.8747221231460571,47
0.9333333373069763,EuroSAT_test,0.8759182095527649,48
0.9200000166893005,EuroSAT_test,0.8767998218536377,49
0.9599999785423279,EuroSAT_test,0.8784312605857849,50
0.8933333158493042,EuroSAT_test,0.878717839717865,51
0.9066666960716248,EuroSAT_test,0.8792451024055481,52
0.8133333325386047,EuroSAT_test,0.8780245184898376,53
0.8799999952316284,EuroSAT_test,0.8780604004859924,54
0.9200000166893005,EuroSAT_test,0.8788093328475952,55
0.7200000286102295,EuroSAT_test,0.8760232329368591,56
0.9333333373069763,EuroSAT_test,0.8770112991333008,57
0.9599999785423279,EuroSAT_test,0.8784179091453552,58
0.9066666960716248,EuroSAT_test,0.878888726234436,59
0.8666666746139526,EuroSAT_test,0.8786882758140564,60
0.8399999737739563,EuroSAT_test,0.8780642747879028,61
0.8133333325386047,EuroSAT_test,0.8770368695259094,62
0.8533333539962769,EuroSAT_test,0.8766664266586304,63
0.8933333158493042,EuroSAT_test,0.8769228458404541,64
0.8799999952316284,EuroSAT_test,0.8769695162773132,65
0.8933333158493042,EuroSAT_test,0.877213716506958,66
0.8799999952316284,EuroSAT_test,0.8772547245025635,67
0.9066666960716248,EuroSAT_test,0.8776809573173523,68
0.8266666531562805,EuroSAT_test,0.8769522309303284,69
0.746666669845581,EuroSAT_test,0.8751171827316284,70
0.9466666579246521,EuroSAT_test,0.8761109113693237,71
0.9466666579246521,EuroSAT_test,0.8770774006843567,72
0.8799999952316284,EuroSAT_test,0.877116858959198,73
0.9200000166893005,EuroSAT_test,0.8776886463165283,74
0.8533333539962769,EuroSAT_test,0.877368152141571,75
0.9200000166893005,EuroSAT_test,0.8779217600822449,76
0.8799999952316284,EuroSAT_test,0.8779484033584595,77
0.8666666746139526,EuroSAT_test,0.8778055906295776,78
0.8666666746139526,EuroSAT_test,0.8776664137840271,79
0.8666666746139526,EuroSAT_test,0.8775306344032288,80
0.8533333539962769,EuroSAT_test,0.877235472202301,81
0.6399999856948853,EuroSAT_test,0.8743771910667419,82
0.7866666913032532,EuroSAT_test,0.8733330965042114,83
0.8266666531562805,EuroSAT_test,0.8727840781211853,84
0.8933333158493042,EuroSAT_test,0.8730230331420898,85
0.8133333325386047,EuroSAT_test,0.8723369240760803,86
0.746666669845581,EuroSAT_test,0.8709088563919067,87
0.8666666746139526,EuroSAT_test,0.8708611726760864,88
0.9333333373069763,EuroSAT_test,0.8715553283691406,89
0.8933333158493042,EuroSAT_test,0.8717946410179138,90
0.8266666531562805,EuroSAT_test,0.8713041543960571,91
