accuracy,dataset,mean,step
0.8533333539962769,CropDisease_test,0.8533333539962769,0
0.9155555963516235,CropDisease_test,0.8844444155693054,1
0.8311111330986023,CropDisease_test,0.8666666150093079,2
0.8933333158493042,CropDisease_test,0.8733333349227905,3
0.9066666960716248,CropDisease_test,0.8800000548362732,4
0.8844444751739502,CropDisease_test,0.880740761756897,5
0.9155555963516235,CropDisease_test,0.8857142925262451,6
0.9022222757339478,CropDisease_test,0.8877778053283691,7
0.8577777743339539,CropDisease_test,0.8844444751739502,8
0.9377777576446533,CropDisease_test,0.8897778391838074,9
0.9155555963516235,CropDisease_test,0.8921212553977966,10
0.9200000166893005,CropDisease_test,0.894444465637207,11
0.8888888359069824,CropDisease_test,0.8940171599388123,12
0.897777795791626,CropDisease_test,0.8942857384681702,13
0.9244444370269775,CropDisease_test,0.8962963819503784,14
0.8355555534362793,CropDisease_test,0.892500102519989,15
0.8666666746139526,CropDisease_test,0.8909804821014404,16
0.9111111164093018,CropDisease_test,0.8920988440513611,17
0.9200000166893005,CropDisease_test,0.8935672640800476,18
0.9244444370269775,CropDisease_test,0.8951112031936646,19
0.9022221565246582,CropDisease_test,0.8954498171806335,20
0.9377777576446533,CropDisease_test,0.8973737359046936,21
0.9111111164093018,CropDisease_test,0.8979710340499878,22
0.893333375453949,CropDisease_test,0.897777795791626,23
0.8844444155693054,CropDisease_test,0.8972445130348206,24
0.9288889169692993,CropDisease_test,0.8984615802764893,25
0.8666666746139526,CropDisease_test,0.8972839713096619,26
0.9866666793823242,CropDisease_test,0.9004762172698975,27
0.8711110949516296,CropDisease_test,0.8994635939598083,28
0.8577777743339539,CropDisease_test,0.8980740904808044,29
0.8622221946716309,CropDisease_test,0.8969175815582275,30
0.9244444370269775,CropDisease_test,0.897777795791626,31
0.8755555152893066,CropDisease_test,0.8971043825149536,32
0.9111111164093018,CropDisease_test,0.8975163102149963,33
0.8666666746139526,CropDisease_test,0.8966348767280579,34
0.888888955116272,CropDisease_test,0.8964196443557739,35
0.9066666960716248,CropDisease_test,0.8966966271400452,36
0.8577777743339539,CropDisease_test,0.8956724405288696,37
0.9377777576446533,CropDisease_test,0.896752119064331,38
0.8844444751739502,CropDisease_test,0.8964444398880005,39
0.9022222757339478,CropDisease_test,0.8965852856636047,40
0.8444444537162781,CropDisease_test,0.8953438997268677,41
0.9377777576446533,CropDisease_test,0.8963306546211243,42
0.8799999952316284,CropDisease_test,0.8959595561027527,43
0.9155555963516235,CropDisease_test,0.8963949680328369,44
0.8933333158493042,CropDisease_test,0.8963284492492676,45
0.9022222757339478,CropDisease_test,0.8964537978172302,46
0.8844444155693054,CropDisease_test,0.8962035775184631,47
0.9066666960716248,CropDisease_test,0.8964170813560486,48
0.9333333373069763,CropDisease_test,0.8971554636955261,49
0.9022222757339478,CropDisease_test,0.8972548246383667,50
0.9022222757339478,CropDisease_test,0.8973503112792969,51
0.8622221946716309,CropDisease_test,0.8966875076293945,52
0.8400000333786011,CropDisease_test,0.8956378102302551,53
0.9111111164093018,CropDisease_test,0.895919144153595,54
0.888888955116272,CropDisease_test,0.8957936763763428,55
0.8400000333786011,CropDisease_test,0.8948148488998413,56
0.9111111164093018,CropDisease_test,0.8950958251953125,57
0.9466666579246521,CropDisease_test,0.8959698677062988,58
0.9022222757339478,CropDisease_test,0.896074116230011,59
0.8622223138809204,CropDisease_test,0.8955191373825073,60
0.9022222757339478,CropDisease_test,0.8956272602081299,61
0.8622221946716309,CropDisease_test,0.895097017288208,62
0.8355555534362793,CropDisease_test,0.8941667079925537,63
0.9333333969116211,CropDisease_test,0.8947693109512329,64
0.8666666746139526,CropDisease_test,0.8943434953689575,65
0.9022222757339478,CropDisease_test,0.8944610953330994,66
0.8311111330986023,CropDisease_test,0.8935295343399048,67
0.8488889932632446,CropDisease_test,0.8928824663162231,68
0.8622223138809204,CropDisease_test,0.8924445509910583,69
0.9022221565246582,CropDisease_test,0.8925822377204895,70
0.9244444370269775,CropDisease_test,0.893024742603302,71
0.897777795791626,CropDisease_test,0.893089771270752,72
0.8888888359069824,CropDisease_test,0.8930330872535706,73
0.8000000715255737,CropDisease_test,0.8917925953865051,74
0.8533333539962769,CropDisease_test,0.8912865519523621,75
0.8800000548362732,CropDisease_test,0.8911399841308594,76
0.8133333921432495,CropDisease_test,0.8901425004005432,77
0.8355555534362793,CropDisease_test,0.8894514441490173,78
0.8311111330986023,CropDisease_test,0.88872230052948,79
0.9466667175292969,CropDisease_test,0.8894375562667847,80
0.893333375453949,CropDisease_test,0.8894850015640259,81
0.8088889122009277,CropDisease_test,0.88851398229599,82
0.9288889169692993,CropDisease_test,0.8889946937561035,83
0.897777795791626,CropDisease_test,0.889098048210144,84
0.8799999952316284,CropDisease_test,0.888992190361023,85
0.8933333158493042,CropDisease_test,0.8890420198440552,86
0.9333333373069763,CropDisease_test,0.8895453810691833,87
0.8400000333786011,CropDisease_test,0.888988733291626,88
0.8844444751739502,CropDisease_test,0.8889381885528564,89
0.8844444155693054,CropDisease_test,0.8888888359069824,90
0.8800000548362732,CropDisease_test,0.8887922763824463,91
0.9200000166893005,CropDisease_test,0.889127790927887,92
0.9422222375869751,CropDisease_test,0.8896925449371338,93
0.9422222971916199,CropDisease_test,0.8902455568313599,94
0.8844444751739502,CropDisease_test,0.8901850581169128,95
0.8933333158493042,CropDisease_test,0.8902174830436707,96
0.8799999952316284,CropDisease_test,0.8901132345199585,97
0.888888955116272,CropDisease_test,0.8901008367538452,98
0.897777795791626,CropDisease_test,0.8901776075363159,99
0.9288889169692993,CropDisease_test,0.8905608654022217,100
0.888888955116272,CropDisease_test,0.8905444145202637,101
0.9511111974716187,CropDisease_test,0.8911324739456177,102
0.8622223138809204,CropDisease_test,0.8908544778823853,103
0.9066666960716248,CropDisease_test,0.8910050988197327,104
0.888888955116272,CropDisease_test,0.8909850120544434,105
0.8577777743339539,CropDisease_test,0.8906747102737427,106
0.8622221946716309,CropDisease_test,0.8904113173484802,107
0.9066666960716248,CropDisease_test,0.8905604481697083,108
0.8799999952316284,CropDisease_test,0.8904644250869751,109
0.888888955116272,CropDisease_test,0.8904502391815186,110
0.9111111164093018,CropDisease_test,0.8906347155570984,111
0.8266667127609253,CropDisease_test,0.8900686502456665,112
0.9244444370269775,CropDisease_test,0.89037024974823,113
0.8133333921432495,CropDisease_test,0.8897004127502441,114
0.9066666960716248,CropDisease_test,0.8898466229438782,115
0.8755555152893066,CropDisease_test,0.8897244930267334,116
0.9155555963516235,CropDisease_test,0.8899434208869934,117
0.8133333921432495,CropDisease_test,0.8892996907234192,118
0.8488888740539551,CropDisease_test,0.8889629244804382,119
0.8222222328186035,CropDisease_test,0.8884113430976868,120
0.9244444370269775,CropDisease_test,0.8887066841125488,121
0.8177778124809265,CropDisease_test,0.8881301283836365,122
0.9244444370269775,CropDisease_test,0.888422966003418,123
0.8622221946716309,CropDisease_test,0.8882133960723877,124
0.9111111164093018,CropDisease_test,0.8883950710296631,125
0.8933333158493042,CropDisease_test,0.8884339928627014,126
0.8755555152893066,CropDisease_test,0.8883334398269653,127
0.9111111164093018,CropDisease_test,0.88850998878479,128
0.8799999952316284,CropDisease_test,0.8884446024894714,129
0.8977777361869812,CropDisease_test,0.8885157704353333,130
0.9288889169692993,CropDisease_test,0.8888216018676758,131
0.9111111164093018,CropDisease_test,0.8889892101287842,132
0.8533333539962769,CropDisease_test,0.8887230753898621,133
0.9244444370269775,CropDisease_test,0.8889877796173096,134
0.9066666960716248,CropDisease_test,0.8891177773475647,135
0.9200000166893005,CropDisease_test,0.8893432021141052,136
0.8933333158493042,CropDisease_test,0.8893720507621765,137
0.9333333373069763,CropDisease_test,0.8896883726119995,138
0.8311111330986023,CropDisease_test,0.889270007610321,139
0.8755555152893066,CropDisease_test,0.8891727328300476,140
0.9022221565246582,CropDisease_test,0.8892646431922913,141
0.8488888740539551,CropDisease_test,0.8889822363853455,142
0.9200000166893005,CropDisease_test,0.8891976475715637,143
0.9200000166893005,CropDisease_test,0.889410138130188,144
0.8355555534362793,CropDisease_test,0.8890411853790283,145
0.8488888740539551,CropDisease_test,0.8887680768966675,146
0.8222222328186035,CropDisease_test,0.8883184790611267,147
0.8266667127609253,CropDisease_test,0.887904703617096,148
0.9200000166893005,CropDisease_test,0.8881187438964844,149
0.8533333539962769,CropDisease_test,0.8878883123397827,150
0.8355555534362793,CropDisease_test,0.8875439763069153,151
0.9111111164093018,CropDisease_test,0.8876979947090149,152
0.8711110949516296,CropDisease_test,0.8875903487205505,153
0.8933333158493042,CropDisease_test,0.8876274228096008,154
0.9111111164093018,CropDisease_test,0.8877779841423035,155
0.9111111164093018,CropDisease_test,0.8879265785217285,156
0.8266667127609253,CropDisease_test,0.8875387907028198,157
0.893333375453949,CropDisease_test,0.8875752687454224,158
0.893333375453949,CropDisease_test,0.8876113295555115,159
0.8711111545562744,CropDisease_test,0.8875088095664978,160
0.8800000548362732,CropDisease_test,0.8874624371528625,161
0.8355555534362793,CropDisease_test,0.8871439695358276,162
0.8888888359069824,CropDisease_test,0.8871545791625977,163
0.9066666960716248,CropDisease_test,0.8872728943824768,164
0.9466666579246521,CropDisease_test,0.8876306414604187,165
0.8799999952316284,CropDisease_test,0.8875849843025208,166
0.9644445180892944,CropDisease_test,0.8880425691604614,167
0.9288889169692993,CropDisease_test,0.8882842063903809,168
0.9022221565246582,CropDisease_test,0.8883662223815918,169
0.9200000166893005,CropDisease_test,0.8885511755943298,170
0.8444444537162781,CropDisease_test,0.8882946968078613,171
0.9066666960716248,CropDisease_test,0.8884009122848511,172
0.9200000166893005,CropDisease_test,0.8885825276374817,173
0.9200000166893005,CropDisease_test,0.8887620568275452,174
0.9333333373069763,CropDisease_test,0.8890153169631958,175
0.8844444751739502,CropDisease_test,0.8889894485473633,176
0.893333375453949,CropDisease_test,0.8890138864517212,177
0.8311111330986023,CropDisease_test,0.8886904120445251,178
0.9066666960716248,CropDisease_test,0.8887902498245239,179
0.9422222375869751,CropDisease_test,0.8890854716300964,180
0.8844444751739502,CropDisease_test,0.8890599608421326,181
0.9733333587646484,CropDisease_test,0.8895204663276672,182
0.8844444155693054,CropDisease_test,0.8894928693771362,183
0.9244444370269775,CropDisease_test,0.8896818161010742,184
0.893333375453949,CropDisease_test,0.8897014260292053,185
0.8355555534362793,CropDisease_test,0.8894118666648865,186
0.9066666960716248,CropDisease_test,0.8895035982131958,187
0.8088889122009277,CropDisease_test,0.8890770673751831,188
0.9066666960716248,CropDisease_test,0.8891696929931641,189
0.8533333539962769,CropDisease_test,0.8889820575714111,190
0.9022222757339478,CropDisease_test,0.8890510201454163,191
0.9111111164093018,CropDisease_test,0.8891653418540955,192
0.8711111545562744,CropDisease_test,0.8890722990036011,193
0.9377777576446533,CropDisease_test,0.8893221020698547,194
0.8977777361869812,CropDisease_test,0.8893652558326721,195
0.8844444751739502,CropDisease_test,0.8893402218818665,196
0.8666666746139526,CropDisease_test,0.8892256617546082,197
0.9066666960716248,CropDisease_test,0.889313280582428,198
0.9244444370269775,CropDisease_test,0.889488935470581,199
0.9422222375869751,CropDisease_test,0.9422222375869751,0
0.8266667127609253,CropDisease_test,0.8844444155693054,1
0.9022222757339478,CropDisease_test,0.8903703689575195,2
0.8355555534362793,CropDisease_test,0.8766667246818542,3
0.8622223138809204,CropDisease_test,0.8737778663635254,4
0.9022222757339478,CropDisease_test,0.8785185813903809,5
0.8800000548362732,CropDisease_test,0.8787302374839783,6
0.9333333969116211,CropDisease_test,0.885555624961853,7
0.9066666960716248,CropDisease_test,0.887901246547699,8
0.8755555152893066,CropDisease_test,0.8866667151451111,9
0.8666667342185974,CropDisease_test,0.8848485350608826,10
0.8666667342185974,CropDisease_test,0.8833333849906921,11
