accuracy,dataset,mean,step
0.8488888740539551,EuroSAT_test,0.8488888740539551,0
0.9066666960716248,EuroSAT_test,0.8777777552604675,1
0.8311111330986023,EuroSAT_test,0.8622221946716309,2
0.8799999952316284,EuroSAT_test,0.8666666746139526,3
0.8355555534362793,EuroSAT_test,0.8604444265365601,4
0.8355555534362793,EuroSAT_test,0.8562962412834167,5
0.8444444537162781,EuroSAT_test,0.854603111743927,6
0.90666663646698,EuroSAT_test,0.861111044883728,7
0.7511111497879028,EuroSAT_test,0.8488888144493103,8
0.888888955116272,EuroSAT_test,0.852888822555542,9
0.746666669845581,EuroSAT_test,0.843232274055481,10
0.8000000715255737,EuroSAT_test,0.8396295309066772,11
0.8488888740539551,EuroSAT_test,0.8403418064117432,12
0.7777777910232544,EuroSAT_test,0.8358729481697083,13
0.7733333110809326,EuroSAT_test,0.8317036032676697,14
0.8799999952316284,EuroSAT_test,0.8347221612930298,15
0.9022222757339478,EuroSAT_test,0.8386927247047424,16
0.8355555534362793,EuroSAT_test,0.8385184407234192,17
0.7955555319786072,EuroSAT_test,0.8362572193145752,18
0.8577777743339539,EuroSAT_test,0.8373332619667053,19
0.7733333110809326,EuroSAT_test,0.8342856764793396,20
0.8622221946716309,EuroSAT_test,0.8355554938316345,21
0.8888888359069824,EuroSAT_test,0.8378743529319763,22
0.8000000715255737,EuroSAT_test,0.8362962603569031,23
0.8177778124809265,EuroSAT_test,0.8355555534362793,24
0.8044444918632507,EuroSAT_test,0.8343589305877686,25
0.8222222328186035,EuroSAT_test,0.8339093923568726,26
0.8222222328186035,EuroSAT_test,0.8334920406341553,27
0.8311111330986023,EuroSAT_test,0.8334099054336548,28
0.7644444704055786,EuroSAT_test,0.8311110734939575,29
0.746666669845581,EuroSAT_test,0.8283870220184326,30
0.8711110949516296,EuroSAT_test,0.8297221660614014,31
0.8400000333786011,EuroSAT_test,0.8300336003303528,32
0.8266667127609253,EuroSAT_test,0.8299345970153809,33
0.8088889122009277,EuroSAT_test,0.8293333053588867,34
0.8222222328186035,EuroSAT_test,0.8291357755661011,35
0.9022222757339478,EuroSAT_test,0.8311110734939575,36
0.8311111330986023,EuroSAT_test,0.8311110734939575,37
0.7555555701255798,EuroSAT_test,0.8291738033294678,38
0.8044444918632507,EuroSAT_test,0.8285555243492126,39
0.7822222709655762,EuroSAT_test,0.8274253606796265,40
0.8711110949516296,EuroSAT_test,0.8284655809402466,41
0.795555591583252,EuroSAT_test,0.8277001976966858,42
0.8044444918632507,EuroSAT_test,0.8271716237068176,43
0.795555591583252,EuroSAT_test,0.8264690041542053,44
0.8400000333786011,EuroSAT_test,0.8267631530761719,45
0.8177778124809265,EuroSAT_test,0.8265719413757324,46
0.8533333539962769,EuroSAT_test,0.8271294832229614,47
0.9066666960716248,EuroSAT_test,0.8287526965141296,48
0.8488889932632446,EuroSAT_test,0.829155445098877,49
