accuracy,dataset,mean,step
0.4888889193534851,ISIC_test,0.4888889193534851,0
0.46666666865348816,ISIC_test,0.4777778089046478,1
0.5066666603088379,ISIC_test,0.4874074161052704,2
0.3777777850627899,ISIC_test,0.46000000834465027,3
0.4444444179534912,ISIC_test,0.45688891410827637,4
0.5022222399711609,ISIC_test,0.46444448828697205,5
0.40000003576278687,ISIC_test,0.45523813366889954,6
0.4488888680934906,ISIC_test,0.4544444680213928,7
0.6044444441795349,ISIC_test,0.47111111879348755,8
0.46222227811813354,ISIC_test,0.47022223472595215,9
0.3999999761581421,ISIC_test,0.4638383984565735,10
0.5155555605888367,ISIC_test,0.4681481420993805,11
0.3955555856227875,ISIC_test,0.462564080953598,12
0.4400000274181366,ISIC_test,0.46095237135887146,13
0.4266666769981384,ISIC_test,0.4586666524410248,14
0.41333335638046265,ISIC_test,0.4558333158493042,15
0.48000001907348633,ISIC_test,0.45725491642951965,16
0.3688889145851135,ISIC_test,0.45234566926956177,17
0.45777779817581177,ISIC_test,0.45263156294822693,18
0.5288888812065125,ISIC_test,0.4564444422721863,19
0.47111111879348755,ISIC_test,0.4571428596973419,20
0.3866666555404663,ISIC_test,0.45393940806388855,21
0.46666666865348816,ISIC_test,0.4544927477836609,22
0.444444477558136,ISIC_test,0.45407405495643616,23
0.4533333480358124,ISIC_test,0.4540444612503052,24
0.43111109733581543,ISIC_test,0.45316243171691895,25
0.46666669845581055,ISIC_test,0.45366260409355164,26
0.4355555772781372,ISIC_test,0.45301592350006104,27
0.4266666769981384,ISIC_test,0.452107310295105,28
0.5066666603088379,ISIC_test,0.4539259672164917,29
0.47111114859580994,ISIC_test,0.4544803202152252,30
0.4399999976158142,ISIC_test,0.45402783155441284,31
0.41777777671813965,ISIC_test,0.4529293179512024,32
0.43111109733581543,ISIC_test,0.4522876441478729,33
0.40888890624046326,ISIC_test,0.4510476887226105,34
0.4355555474758148,ISIC_test,0.45061734318733215,35
0.46222221851348877,ISIC_test,0.45093098282814026,36
0.4399999976158142,ISIC_test,0.45064330101013184,37
0.3733333349227905,ISIC_test,0.4486609995365143,38
0.448888897895813,ISIC_test,0.4486667215824127,39
0.448888897895813,ISIC_test,0.4486721158027649,40
0.4888889193534851,ISIC_test,0.44962969422340393,41
0.3777777850627899,ISIC_test,0.44795870780944824,42
0.45777779817581177,ISIC_test,0.4481818974018097,43
0.42222222685813904,ISIC_test,0.4476049840450287,44
0.4488888680934906,ISIC_test,0.44763290882110596,45
0.4400000274181366,ISIC_test,0.447470486164093,46
0.5333333015441895,ISIC_test,0.44925934076309204,47
0.40888890624046326,ISIC_test,0.4484354555606842,48
0.4266666769981384,ISIC_test,0.44800010323524475,49
0.5288888812065125,ISIC_test,0.4495861530303955,50
0.3422222137451172,ISIC_test,0.447521448135376,51
0.40000003576278687,ISIC_test,0.4466247856616974,52
0.4266666769981384,ISIC_test,0.4462552070617676,53
0.40444445610046387,ISIC_test,0.44549497961997986,54
0.3733333349227905,ISIC_test,0.4442064166069031,55
0.41333335638046265,ISIC_test,0.4436647891998291,56
0.46222227811813354,ISIC_test,0.443984717130661,57
0.42222222685813904,ISIC_test,0.4436158835887909,58
0.43111109733581543,ISIC_test,0.44340750575065613,59
0.3422222137451172,ISIC_test,0.4417486786842346,60
0.42222222685813904,ISIC_test,0.44143378734588623,61
0.42222222685813904,ISIC_test,0.44112882018089294,62
0.3688889145851135,ISIC_test,0.44000011682510376,63
0.4755555987358093,ISIC_test,0.4405471086502075,64
0.4355555474758148,ISIC_test,0.44047147035598755,65
0.3911111354827881,ISIC_test,0.43973472714424133,66
0.46222221851348877,ISIC_test,0.4400654435157776,67
0.5244444608688354,ISIC_test,0.4412882924079895,68
0.45777779817581177,ISIC_test,0.4415239095687866,69
0.42222222685813904,ISIC_test,0.44125205278396606,70
0.4844444692134857,ISIC_test,0.441851943731308,71
0.3822222352027893,ISIC_test,0.44103506207466125,72
0.5911111235618591,ISIC_test,0.4430631399154663,73
0.47111111879348755,ISIC_test,0.4434370994567871,74
0.47111114859580994,ISIC_test,0.44380122423171997,75
0.4844444692134857,ISIC_test,0.44432902336120605,76
0.42222222685813904,ISIC_test,0.44404566287994385,77
0.4933333396911621,ISIC_test,0.4446695148944855,78
0.46222221851348877,ISIC_test,0.44488897919654846,79
0.4355555474758148,ISIC_test,0.44477367401123047,80
0.5111111402511597,ISIC_test,0.44558268785476685,81
0.5022222399711609,ISIC_test,0.4462650716304779,82
0.48000001907348633,ISIC_test,0.44666674733161926,83
0.5600000619888306,ISIC_test,0.44800007343292236,84
0.41333335638046265,ISIC_test,0.447596937417984,85
0.40444445610046387,ISIC_test,0.4471009373664856,86
0.46222221851348877,ISIC_test,0.44727277755737305,87
0.5377777814865112,ISIC_test,0.448289692401886,88
0.47111114859580994,ISIC_test,0.4485432207584381,89
0.5200001001358032,ISIC_test,0.4493284821510315,90
0.40888890624046326,ISIC_test,0.4488889276981354,91
0.5288889408111572,ISIC_test,0.4497491419315338,92
0.5111111402511597,ISIC_test,0.4504019021987915,93
0.4933333396911621,ISIC_test,0.4508538544178009,94
0.5244444608688354,ISIC_test,0.4516204297542572,95
0.48000001907348633,ISIC_test,0.4519129991531372,96
0.46222221851348877,ISIC_test,0.45201820135116577,97
0.3955555856227875,ISIC_test,0.45144784450531006,98
0.42222222685813904,ISIC_test,0.4511556029319763,99
